Date, SP LONG & FLAT PROGRAM , Multi-Strategy Futures Program , Global Contrarian Stock Index Program , Contrarian S&P 500 Stock Index 
,100.0,100.0,100.0,100.0
2003-12-31,100.15,100.0,100.0,100.61
2004-01-30,100.13,100.0,100.0,103.5
2004-02-27,101.59,100.0,100.0,106.25
2004-03-31,99.14,100.0,100.0,110.01
2004-04-30,101.63,100.0,100.0,108.09
2004-05-31,101.0,100.0,100.0,111.13
2004-06-30,100.61,100.0,100.0,111.98
2004-07-30,100.13,100.0,100.0,114.92
2004-08-31,99.71,100.0,100.0,114.32
2004-09-30,99.92,100.0,100.0,119.51
2004-10-29,103.13,100.0,100.0,114.62
2004-11-30,103.67,100.0,100.0,117.3
2004-12-31,103.7,100.0,100.0,119.87
2005-01-31,102.92,100.0,100.0,123.85
2005-02-28,105.22,100.0,100.0,122.32
2005-03-31,103.81,100.0,100.0,123.84
2005-04-29,103.57,100.0,100.0,127.41
2005-05-31,104.72,100.0,100.0,128.82
2005-06-30,104.77,100.0,100.0,127.88
2005-07-29,104.59,100.0,100.0,131.6
2005-08-31,105.43,100.0,100.0,133.51
2005-09-30,106.49,100.0,100.0,133.4
2005-10-31,103.33,100.0,100.0,130.59
2005-11-30,103.15,100.0,100.0,133.78
2005-12-30,103.68,100.0,100.0,134.28
2006-01-31,105.77,100.0,100.05,137.09
2006-02-28,106.9,100.0,101.53,143.74
2006-03-31,110.27,100.0,102.58,156.09
2006-04-28,115.12,100.0,103.52,149.92
2006-05-31,110.41,100.0,98.63,152.65
2006-06-30,110.51,100.0,99.54,156.99
2006-07-31,110.76,100.0,99.19,161.82
2006-08-31,113.76,100.0,103.27,170.38
2006-09-29,117.08,100.0,106.87,167.01
2006-10-31,116.88,100.0,108.27,183.57
2006-11-30,121.51,100.0,110.87,185.92
2006-12-29,122.29,100.0,111.8,194.4
2007-01-31,124.75,100.0,114.7,179.22
2007-02-28,117.74,100.0,112.8,173.68
2007-03-30,124.18,100.0,112.03,172.43
2007-04-30,126.23,100.0,113.22,186.93
2007-05-31,129.47,100.0,115.25,197.64
2007-06-29,130.66,100.0,118.54,184.6
2007-07-31,126.77,100.0,109.76,226.8
2007-08-31,139.5,100.0,119.47,228.05
2007-09-28,139.32,100.0,122.06,225.1
2007-10-31,138.09,100.0,123.03,241.24
2007-11-30,130.92,100.0,124.81,258.81
2007-12-31,136.54,100.0,128.15,237.04
2008-01-31,126.27,100.0,116.09,254.44
2008-02-29,126.06,100.0,119.71,260.42
2008-03-31,125.57,100.0,125.62,282.66
2008-04-30,137.15,100.0,129.07,295.83
2008-05-30,138.02,100.0,132.56,277.73
2008-06-30,127.34,100.0,127.93,289.39
2008-07-31,129.72,100.0,129.98,294.98
2008-08-29,131.95,100.0,133.23,324.44
2008-09-30,144.84,100.0,140.42,315.65
2008-10-31,150.16,100.0,138.47,326.67
2008-11-28,152.02,100.0,148.22,342.61
2008-12-31,153.4,100.0,153.94,350.32
2009-01-30,150.93,100.0,157.05,343.98
2009-02-27,142.84,100.0,157.84,341.81
2009-03-31,144.98,100.0,158.45,349.16
2009-04-30,146.67,100.0,176.53,355.69
2009-05-29,148.75,100.0,187.74,356.47
2009-06-30,148.29,100.0,192.1,336.79
2009-07-31,149.8,100.0,195.57,345.79
2009-08-31,152.65,100.0,201.58,342.67
2009-09-30,155.61,100.0,206.39,344.08
2009-10-30,156.48,100.0,200.55,347.45
2009-11-30,157.84,100.0,200.81,352.98
2009-12-31,158.87,100.0,207.52,345.85
2010-01-29,154.43,100.0,208.0,361.31
2010-02-26,159.55,100.0,212.47,317.3
2010-03-31,159.34,100.0,210.66,327.9
2010-04-30,163.23,100.0,212.81,334.88
2010-05-31,165.89,101.34,217.96,334.88
2010-06-30,164.28,99.43,216.66,368.8
2010-07-30,172.66,101.72,213.97,367.77
2010-08-31,172.19,101.98,219.1,340.37
2010-09-30,174.69,105.1,219.26,349.36
2010-10-29,176.35,107.91,220.38,351.28
2010-11-30,178.41,110.17,222.18,329.08
2010-12-31,178.09,112.4,221.83,334.15
2011-01-31,178.71,112.37,225.13,344.27
2011-02-28,183.46,114.06,226.6,339.52
2011-03-31,181.17,110.14,225.33,330.29
2011-04-29,182.4,111.77,227.29,348.58
2011-05-31,188.46,110.37,228.31,354.23
2011-06-30,188.27,107.6,230.11,353.98
2011-07-29,189.25,114.64,230.9,301.63
2011-08-31,182.47,113.69,219.03,331.91
2011-09-30,185.94,114.67,223.61,331.65
2011-10-31,191.52,121.71,233.8,335.82
2011-11-30,189.2,117.74,242.69,355.44
2011-12-30,193.48,115.47,241.79,345.09
2012-01-31,193.21,116.27,246.07,339.78
2012-02-29,193.69,110.8,247.1,349.39
2012-03-30,196.87,109.88,247.57,360.09
2012-04-30,201.71,108.63,247.77,344.39
2012-05-31,191.0,104.11,238.95,358.64
2012-06-29,195.53,113.12,244.97,365.1
2012-07-31,198.46,115.29,247.27,364.37
2012-08-31,198.56,116.94,248.04,362.47
2012-09-28,199.95,116.86,249.23,367.98
2012-10-31,201.79,115.68,250.5,370.71
2012-11-30,202.65,114.67,254.01,377.01
2012-12-31,203.32,112.09,251.11,358.57
2013-01-31,203.1,114.08,252.59,375.75
2013-02-28,207.63,113.39,252.97,371.99
2013-03-29,208.65,112.89,254.62,395.06
2013-04-30,211.61,114.09,257.34,379.37
2013-05-31,211.42,105.76,259.43,386.96
2013-06-28,215.03,104.18,258.93,351.71
2013-07-31,214.67,103.71,262.58,346.43
2013-08-30,210.22,103.81,261.72,332.44
2013-09-30,211.36,102.08,261.48,340.85
2013-10-31,217.89,100.66,263.05,345.31
2013-11-29,219.9,103.27,266.1,353.98
2013-12-31,225.74,99.67,265.94,354.55
2014-01-31,224.8,95.07,265.86,348.48
2014-02-28,223.79,95.8,269.27,357.58
2014-03-31,228.01,93.46,272.58,371.95
2014-04-30,233.12,91.12,275.55,373.25
2014-05-30,233.4,89.36,276.84,372.43
2014-06-30,233.75,89.58,276.71,370.68
2014-07-31,232.05,88.96,274.41,371.13
2014-08-29,234.83,87.93,276.22,378.81
2014-09-30,237.2,89.24,275.11,370.48
2014-10-31,238.2,88.31,274.21,363.92
2014-11-28,237.7,87.2,275.74,362.32
2014-12-31,239.12,87.9,279.74,377.68
2015-01-30,238.12,89.55,286.29,381.31
2015-02-27,241.19,90.02,287.98,392.44
2015-03-31,248.02,92.06,290.39,396.72
2015-04-30,248.66,94.85,294.52,403.46
2015-05-29,252.94,97.95,297.76,405.32
2015-06-30,252.86,96.33,302.02,418.08
2015-07-31,262.95,98.23,311.53,395.76
2015-08-31,242.36,97.8,282.78,398.89
2015-09-30,244.69,93.4,287.81,393.42
2015-10-30,246.62,94.4,296.76,390.98
2015-11-30,244.8,93.57,308.13,408.26
2015-12-31,253.68,94.87,309.82,380.54
2016-01-29,238.03,88.2,307.96,388.65
2016-02-29,240.41,87.0,314.98,384.76
2016-03-31,240.0,91.74,326.73,392.15
2016-04-29,243.08,91.07,325.36,394.11
2016-05-31,244.1,92.92,329.2,408.45
2016-06-30,251.03,89.52,334.93,406.98
2016-07-29,250.6,89.6,338.81,414.64
2016-08-31,254.74,89.84,344.81,427.49
2016-09-30,260.9,93.41,348.15,426.72
2016-10-31,260.85,91.51,351.18,425.7
2016-11-30,260.95,92.77,358.66,423.35
2016-12-30,260.35,92.21,359.2,427.67
2017-01-31,263.04,91.9,364.12,419.85
2017-02-28,263.17,89.68,366.12,426.19
2017-03-31,265.93,89.13,362.65,427.51
2017-04-28,267.23,89.0,363.01,434.13
2017-05-31,271.3,88.03,362.72,436.3
2017-06-30,273.33,87.83,364.64,435.74
2017-07-31,274.89,88.46,366.14,442.1
2017-08-31,278.52,88.2,367.01,443.78
2017-09-29,279.63,87.83,357.99,440.85
2017-10-31,279.16,87.27,357.09,443.23
2017-11-30,281.39,85.64,360.3,443.01
2017-12-29,280.85,85.71,364.41,431.98
2018-01-31,281.22,82.5,364.52,419.75
2018-02-28,271.21,79.07,329.67,402.25
2018-03-30,260.71,78.9,334.32,414.08
2018-04-30,266.4,77.07,341.24,420.24
2018-05-31,271.51,76.13,333.8,416.5
2018-06-29,269.61,76.3,331.9,416.38
2018-07-31,270.36,76.6,342.69,420.63
2018-08-31,273.2,78.69,346.53,423.74
2018-09-28,273.97,77.05,351.93,364.12
2018-10-31,236.22,72.95,295.45,364.12
2018-11-30,236.22,72.95,295.45,364.12
2018-12-31,236.22,72.95,295.45,364.12
2019-01-31,236.22,72.95,295.45,364.12
2019-02-28,236.22,72.95,295.45,364.12
2019-03-29,236.22,72.95,295.45,364.12
2019-04-30,236.22,72.95,295.45,364.12
2019-05-31,236.22,72.95,295.45,364.12
2019-06-28,236.22,72.95,295.45,364.12
2019-07-31,236.22,72.95,295.45,364.12
2019-08-30,236.22,72.95,295.45,364.12
2019-09-30,236.22,72.95,295.45,364.12
2019-10-31,236.22,72.95,295.45,364.12
2019-11-29,236.22,72.95,295.45,364.12
